millis,stamp,datetime,doorposition,temp,vcc
999, 1445807439, "2015/10/25 21:10:39", -1000.00, 71.49, 1
1999, 1445807440, "2015/10/25 21:10:40", 71.37, 43.25, 1
2999, 1445807441, "2015/10/25 21:10:41", 71.37, 43.25, 1
3999, 1445807442, "2015/10/25 21:10:42", 71.37, 43.25, 1
4999, 1445807443, "2015/10/25 21:10:43", 71.49, 43.25, 1
5999, 1445807444, "2015/10/25 21:10:44", 71.49, 43.25, 1
6999, 1445807445, "2015/10/25 21:10:45", 71.49, 43.25, 1
7999, 1445807446, "2015/10/25 21:10:46", 71.49, 43.25, 1
8999, 1445807447, "2015/10/25 21:10:47", 71.49, 43.36, 1
