millis,stamp,datetime,doorposition,temp,vcc
998, 1445808647, "2015/10/25 21:30:47", -1000.00, -1000.00, 1
1999, 1445808648, "2015/10/25 21:30:48", -1000.00, -1000.00, 1
2999, 1445808649, "2015/10/25 21:30:49", -1000.00, -1000.00, 1
3999, 1445808650, "2015/10/25 21:30:50", -1000.00, -1000.00, 1
4999, 1445808651, "2015/10/25 21:30:51", -1000.00, -1000.00, 1
5999, 1445808652, "2015/10/25 21:30:52", -1000.00, -1000.00, 1
7000, 1445808653, "2015/10/25 21:30:53", -1000.00, -1000.00, 1
7999, 1445808654, "2015/10/25 21:30:54", -1000.00, -1000.00, 1
8999, 1445808655, "2015/10/25 21:30:55", -1000.00, -1000.00, 1
9999, 1445808656, "2015/10/25 21:30:56", -1000.00, -1000.00, 1
10999, 1445808657, "2015/10/25 21:30:57", -1000.00, -1000.00, 1
11999, 1445808658, "2015/10/25 21:30:58", -1000.00, -1000.00, 1
12999, 1445808659, "2015/10/25 21:30:59", -1000.00, -1000.00, 1
13999, 1445808660, "2015/10/25 21:31:0", -1000.00, -1000.00, 1
14999, 1445808661, "2015/10/25 21:31:1", -1000.00, -1000.00, 1
16000, 1445808662, "2015/10/25 21:31:2", -1000.00, -1000.00, 1
16999, 1445808663, "2015/10/25 21:31:3", -1000.00, -1000.00, 1
17999, 1445808664, "2015/10/25 21:31:4", -1000.00, -1000.00, 1
18999, 1445808665, "2015/10/25 21:31:5", -1000.00, -1000.00, 1
19999, 1445808666, "2015/10/25 21:31:6", -1000.00, -1000.00, 1
21000, 1445808667, "2015/10/25 21:31:7", -1000.00, -1000.00, 1
21999, 1445808668, "2015/10/25 21:31:8", -1000.00, -1000.00, 1
22999, 1445808669, "2015/10/25 21:31:9", -1000.00, -1000.00, 1
23999, 1445808670, "2015/10/25 21:31:10", -1000.00, -1000.00, 1
24999, 1445808671, "2015/10/25 21:31:11", -1000.00, -1000.00, 1
25999, 1445808672, "2015/10/25 21:31:12", -1000.00, -1000.00, 1
26999, 1445808673, "2015/10/25 21:31:13", -1000.00, -1000.00, 1
27999, 1445808674, "2015/10/25 21:31:14", -1000.00, -1000.00, 1
28999, 1445808675, "2015/10/25 21:31:15", -1000.00, -1000.00, 1
30000, 1445808676, "2015/10/25 21:31:16", -1000.00, -1000.00, 1
30999, 1445808677, "2015/10/25 21:31:17", -1000.00, -1000.00, 1
32000, 1445808678, "2015/10/25 21:31:18", -1000.00, -1000.00, 1
32999, 1445808679, "2015/10/25 21:31:19", -1000.00, -1000.00, 1
33999, 1445808680, "2015/10/25 21:31:20", -1000.00, -1000.00, 1
34999, 1445808681, "2015/10/25 21:31:21", -1000.00, -1000.00, 1
35999, 1445808682, "2015/10/25 21:31:22", -1000.00, -1000.00, 1
37000, 1445808683, "2015/10/25 21:31:23", -1000.00, -1000.00, 1
37999, 1445808684, "2015/10/25 21:31:24", -1000.00, -1000.00, 1
39000, 1445808685, "2015/10/25 21:31:25", -1000.00, -1000.00, 1
39999, 1445808686, "2015/10/25 21:31:26", -1000.00, -1000.00, 1
40999, 1445808687, "2015/10/25 21:31:27", -1000.00, -1000.00, 1
41999, 1445808688, "2015/10/25 21:31:28", -1000.00, -1000.00, 1
42999, 1445808689, "2015/10/25 21:31:29", -1000.00, -1000.00, 1
43999, 1445808690, "2015/10/25 21:31:30", -1000.00, -1000.00, 1
44999, 1445808691, "2015/10/25 21:31:31", -1000.00, -1000.00, 1
46000, 1445808692, "2015/10/25 21:31:32", -1000.00, -1000.00, 1
46999, 1445808693, "2015/10/25 21:31:33", -1000.00, -1000.00, 1
48000, 1445808694, "2015/10/25 21:31:34", -1000.00, -1000.00, 1
48999, 1445808695, "2015/10/25 21:31:35", -1000.00, -1000.00, 1
49999, 1445808696, "2015/10/25 21:31:36", -1000.00, -1000.00, 1
50999, 1445808697, "2015/10/25 21:31:37", -1000.00, -1000.00, 1
51999, 1445808698, "2015/10/25 21:31:38", -1000.00, -1000.00, 1
52999, 1445808699, "2015/10/25 21:31:39", -1000.00, -1000.00, 1
