millis,stamp,datetime,doorposition,temp,vcc
1999, 1445808901, "2015/10/25 21:35:1", -1000.00, -1000.00, 0
3999, 1445808903, "2015/10/25 21:35:3", -1000.00, -1000.00, 0
5998, 1445808905, "2015/10/25 21:35:5", -1000.00, -1000.00, 0
7999, 1445808907, "2015/10/25 21:35:7", -1000.00, -1000.00, 0
9999, 1445808909, "2015/10/25 21:35:9", -1000.00, -1000.00, 0
12000, 1445808911, "2015/10/25 21:35:11", -1000.00, -1000.00, 0
13999, 1445808913, "2015/10/25 21:35:13", -1000.00, -1000.00, 0
15998, 1445808915, "2015/10/25 21:35:15", -1000.00, -1000.00, 0
17999, 1445808917, "2015/10/25 21:35:17", -1000.00, -1000.00, 0
19998, 1445808919, "2015/10/25 21:35:19", -1000.00, -1000.00, 0
21999, 1445808921, "2015/10/25 21:35:21", -1000.00, -1000.00, 0
23999, 1445808923, "2015/10/25 21:35:23", -1000.00, -1000.00, 0
25999, 1445808925, "2015/10/25 21:35:25", -1000.00, -1000.00, 0
28000, 1445808927, "2015/10/25 21:35:27", -1000.00, -1000.00, 0
30000, 1445808929, "2015/10/25 21:35:29", -1000.00, -1000.00, 0
31998, 1445808931, "2015/10/25 21:35:31", -1000.00, -1000.00, 0
33999, 1445808933, "2015/10/25 21:35:33", -1000.00, -1000.00, 0
35998, 1445808935, "2015/10/25 21:35:35", -1000.00, -1000.00, 0
37998, 1445808937, "2015/10/25 21:35:37", -1000.00, -1000.00, 0
39999, 1445808939, "2015/10/25 21:35:39", -1000.00, -1000.00, 0
41999, 1445808941, "2015/10/25 21:35:41", -1000.00, -1000.00, 0
43999, 1445808943, "2015/10/25 21:35:43", -1000.00, -1000.00, 0
46000, 1445808945, "2015/10/25 21:35:45", -1000.00, -1000.00, 0
48000, 1445808947, "2015/10/25 21:35:47", -1000.00, -1000.00, 0
49999, 1445808949, "2015/10/25 21:35:49", -1000.00, -1000.00, 0
51999, 1445808951, "2015/10/25 21:35:51", -1000.00, -1000.00, 1
53998, 1445808953, "2015/10/25 21:35:53", -1000.00, -1000.00, 1
55999, 1445808955, "2015/10/25 21:35:55", -1000.00, -1000.00, 1
58000, 1445808957, "2015/10/25 21:35:57", -1000.00, -1000.00, 1
59999, 1445808959, "2015/10/25 21:35:59", -1000.00, -1000.00, 1
62000, 1445808961, "2015/10/25 21:36:1", -1000.00, -1000.00, 0
63998, 1445808963, "2015/10/25 21:36:3", -1000.00, -1000.00, 0
65999, 1445808965, "2015/10/25 21:36:5", -1000.00, -1000.00, 0
67999, 1445808967, "2015/10/25 21:36:7", -1000.00, -1000.00, 0
69998, 1445808969, "2015/10/25 21:36:9", -1000.00, -1000.00, 0
71999, 1445808971, "2015/10/25 21:36:11", -1000.00, -1000.00, 0
73999, 1445808973, "2015/10/25 21:36:13", -1000.00, -1000.00, 0
