millis,stamp,datetime,doorposition,temp,vcc
1998, 1445808791, "2015/10/25 21:33:11", -1000.00, -1000.00, 0
3998, 1445808793, "2015/10/25 21:33:13", -1000.00, -1000.00, 0
5999, 1445808795, "2015/10/25 21:33:15", -1000.00, -1000.00, 0
7998, 1445808797, "2015/10/25 21:33:17", -1000.00, -1000.00, 0
10000, 1445808799, "2015/10/25 21:33:19", -1000.00, -1000.00, 0
12000, 1445808801, "2015/10/25 21:33:21", -1000.00, -1000.00, 0
13999, 1445808803, "2015/10/25 21:33:23", -1000.00, -1000.00, 0
16000, 1445808805, "2015/10/25 21:33:25", -1000.00, -1000.00, 0
17998, 1445808807, "2015/10/25 21:33:27", -1000.00, -1000.00, 0
19999, 1445808809, "2015/10/25 21:33:29", -1000.00, -1000.00, 0
21999, 1445808811, "2015/10/25 21:33:31", -1000.00, -1000.00, 0
23998, 1445808813, "2015/10/25 21:33:33", -1000.00, -1000.00, 0
26000, 1445808815, "2015/10/25 21:33:35", -1000.00, -1000.00, 0
27999, 1445808817, "2015/10/25 21:33:37", -1000.00, -1000.00, 0
30000, 1445808819, "2015/10/25 21:33:39", -1000.00, -1000.00, 0
32000, 1445808821, "2015/10/25 21:33:41", -1000.00, -1000.00, 0
33999, 1445808823, "2015/10/25 21:33:43", -1000.00, -1000.00, 0
35999, 1445808825, "2015/10/25 21:33:45", -1000.00, -1000.00, 0
