millis,stamp,datetime,doorposition,temp,vcc
998, 1445634951, "2015/10/23 21:15:51", -1000.00, 185.00, 0
1999, 1445634952, "2015/10/23 21:15:52", 73.40, 185.00, 0
2999, 1445634953, "2015/10/23 21:15:53", 73.40, 73.06, 0
3999, 1445634954, "2015/10/23 21:15:54", 73.40, 73.06, 0
4999, 1445634955, "2015/10/23 21:15:55", 73.40, 73.06, 0
6000, 1445634956, "2015/10/23 21:15:56", 73.40, 72.95, 0
6999, 1445634957, "2015/10/23 21:15:57", 73.40, 73.06, 0
7999, 1445634958, "2015/10/23 21:15:58", 73.40, 73.06, 0
8998, 1445634959, "2015/10/23 21:15:59", 73.40, 73.06, 0
9999, 1445634960, "2015/10/23 21:16:0", 73.40, 72.95, 0
10999, 1445634961, "2015/10/23 21:16:1", 73.40, 73.06, 0
12000, 1445634962, "2015/10/23 21:16:2", 73.40, 73.06, 0
12999, 1445634963, "2015/10/23 21:16:3", 73.40, 73.06, 1
13999, 1445634964, "2015/10/23 21:16:4", 73.40, 73.06, 0
14999, 1445634965, "2015/10/23 21:16:5", 73.40, 73.06, 0
15998, 1445634966, "2015/10/23 21:16:6", 73.40, 73.06, 0
16999, 1445634967, "2015/10/23 21:16:7", 73.40, 72.95, 0
18000, 1445634968, "2015/10/23 21:16:8", 73.40, 73.06, 0
18999, 1445634969, "2015/10/23 21:16:9", 73.40, 73.06, 0
19999, 1445634970, "2015/10/23 21:16:10", 73.40, 72.95, 0
20999, 1445634971, "2015/10/23 21:16:11", 73.40, 73.18, 0
21999, 1445634972, "2015/10/23 21:16:12", 73.40, 73.51, 0
22999, 1445634973, "2015/10/23 21:16:13", 73.40, 73.51, 0
24000, 1445634974, "2015/10/23 21:16:14", 73.40, 73.62, 0
24999, 1445634975, "2015/10/23 21:16:15", 73.40, 73.62, 0
25999, 1445634976, "2015/10/23 21:16:16", 73.40, 73.51, 0
26999, 1445634977, "2015/10/23 21:16:17", 73.40, 73.51, 0
27999, 1445634978, "2015/10/23 21:16:18", 73.40, 73.51, 0
28999, 1445634979, "2015/10/23 21:16:19", 73.40, 73.51, 0
29999, 1445634980, "2015/10/23 21:16:20", 73.40, 73.51, 0
30999, 1445634981, "2015/10/23 21:16:21", 73.40, 73.51, 0
31998, 1445634982, "2015/10/23 21:16:22", 73.51, 73.51, 0
32999, 1445634983, "2015/10/23 21:16:23", 73.40, 73.40, 0
33999, 1445634984, "2015/10/23 21:16:24", 73.40, 73.40, 0
34999, 1445634985, "2015/10/23 21:16:25", 73.40, 73.40, 0
35999, 1445634986, "2015/10/23 21:16:26", 73.40, 73.29, 0
36999, 1445634987, "2015/10/23 21:16:27", 73.40, 73.40, 0
37999, 1445634988, "2015/10/23 21:16:28", 73.40, 73.40, 0
38999, 1445634989, "2015/10/23 21:16:29", 73.40, 73.40, 0
39999, 1445634990, "2015/10/23 21:16:30", 73.40, 73.40, 0
40999, 1445634991, "2015/10/23 21:16:31", 73.40, 73.40, 0
41999, 1445634992, "2015/10/23 21:16:32", 73.40, 73.18, 0
42999, 1445634993, "2015/10/23 21:16:33", 73.29, 73.06, 0
43999, 1445634994, "2015/10/23 21:16:34", 73.29, 72.95, 0
44999, 1445634995, "2015/10/23 21:16:35", 73.29, 72.95, 0
45999, 1445634996, "2015/10/23 21:16:36", 73.18, 72.84, 0
46999, 1445634997, "2015/10/23 21:16:37", 73.18, 72.84, 0
47998, 1445634998, "2015/10/23 21:16:38", 73.18, 72.72, 0
49000, 1445634999, "2015/10/23 21:16:39", 73.18, 72.61, 0
49999, 1445635000, "2015/10/23 21:16:40", 73.06, 72.61, 0
50999, 1445635001, "2015/10/23 21:16:41", 73.06, 72.50, 0
51999, 1445635002, "2015/10/23 21:16:42", 73.06, 72.50, 0
52999, 1445635003, "2015/10/23 21:16:43", 72.95, 72.39, 0
53999, 1445635004, "2015/10/23 21:16:44", 72.95, 72.27, 0
54999, 1445635005, "2015/10/23 21:16:45", 72.95, 72.27, 0
55999, 1445635006, "2015/10/23 21:16:46", 72.95, 72.27, 0
56999, 1445635007, "2015/10/23 21:16:47", 72.84, 72.16, 0
57999, 1445635008, "2015/10/23 21:16:48", 72.84, 72.16, 0
58999, 1445635009, "2015/10/23 21:16:49", 72.84, 72.16, 0
59999, 1445635010, "2015/10/23 21:16:50", 72.84, 72.16, 0
61000, 1445635011, "2015/10/23 21:16:51", 72.84, 72.16, 0
61999, 1445635012, "2015/10/23 21:16:52", 72.84, 72.05, 0
62999, 1445635013, "2015/10/23 21:16:53", 72.84, 72.16, 0
64000, 1445635014, "2015/10/23 21:16:54", 72.84, 72.05, 0
64999, 1445635015, "2015/10/23 21:16:55", 72.84, 71.94, 0
65999, 1445635016, "2015/10/23 21:16:56", 72.84, 71.94, 0
66999, 1445635017, "2015/10/23 21:16:57", 72.84, 71.94, 0
67999, 1445635018, "2015/10/23 21:16:58", 72.95, 71.94, 0
68999, 1445635019, "2015/10/23 21:16:59", 72.95, 71.94, 0
69999, 1445635020, "2015/10/23 21:17:0", 72.95, 71.94, 0
71000, 1445635021, "2015/10/23 21:17:1", 72.95, 71.94, 0
71999, 1445635022, "2015/10/23 21:17:2", 73.06, 71.82, 0
72999, 1445635023, "2015/10/23 21:17:3", 73.06, 71.82, 0
73999, 1445635024, "2015/10/23 21:17:4", 73.06, 71.82, 0
74998, 1445635025, "2015/10/23 21:17:5", 73.18, 71.71, 0
75999, 1445635026, "2015/10/23 21:17:6", 73.40, 71.71, 0
76999, 1445635027, "2015/10/23 21:17:7", 73.51, 71.82, 0
77999, 1445635028, "2015/10/23 21:17:8", 73.74, 71.71, 0
79000, 1445635029, "2015/10/23 21:17:9", 73.85, 71.71, 0
80000, 1445635030, "2015/10/23 21:17:10", 73.96, 71.60, 0
80999, 1445635031, "2015/10/23 21:17:11", 74.07, 71.60, 0
82000, 1445635032, "2015/10/23 21:17:12", 74.19, 71.60, 0
82999, 1445635033, "2015/10/23 21:17:13", 74.41, 71.49, 0
83999, 1445635034, "2015/10/23 21:17:14", 74.41, 71.49, 0
84999, 1445635035, "2015/10/23 21:17:15", 74.41, 71.49, 0
85999, 1445635036, "2015/10/23 21:17:16", 74.30, 71.37, 0
86999, 1445635037, "2015/10/23 21:17:17", 74.30, 71.37, 0
87999, 1445635038, "2015/10/23 21:17:18", 74.30, 71.37, 0
88998, 1445635039, "2015/10/23 21:17:19", 74.30, 71.26, 0
89999, 1445635040, "2015/10/23 21:17:20", 74.30, 71.26, 0
90999, 1445635041, "2015/10/23 21:17:21", 74.19, 71.26, 0
92000, 1445635042, "2015/10/23 21:17:22", 74.19, 71.15, 0
92999, 1445635043, "2015/10/23 21:17:23", 74.19, 71.15, 0
94000, 1445635044, "2015/10/23 21:17:24", 74.19, 71.15, 0
94999, 1445635045, "2015/10/23 21:17:25", 74.07, 71.04, 0
95998, 1445635046, "2015/10/23 21:17:26", 74.07, 71.04, 0
96999, 1445635047, "2015/10/23 21:17:27", 74.07, 71.04, 0
97999, 1445635048, "2015/10/23 21:17:28", 74.07, 71.04, 0
98999, 1445635049, "2015/10/23 21:17:29", 74.07, 70.93, 0
99999, 1445635050, "2015/10/23 21:17:30", 73.96, 70.93, 0
