millis,stamp,datetime,doorposition,temp,vcc
998, 1445807449, "2015/10/25 21:10:49", -1000.00, 71.49, 1
1999, 1445807450, "2015/10/25 21:10:50", 71.49, 43.25, 1
2999, 1445807451, "2015/10/25 21:10:51", 71.49, 43.25, 1
3999, 1445807452, "2015/10/25 21:10:52", 71.49, 43.25, 1
4999, 1445807453, "2015/10/25 21:10:53", 71.49, 43.25, 1
5999, 1445807454, "2015/10/25 21:10:54", 71.49, 43.25, 1
6999, 1445807455, "2015/10/25 21:10:55", 71.49, 43.25, 1
7999, 1445807456, "2015/10/25 21:10:56", 71.49, 43.25, 1
8999, 1445807457, "2015/10/25 21:10:57", 71.49, 43.36, 1
9999, 1445807458, "2015/10/25 21:10:58", 71.49, 43.25, 1
10999, 1445807459, "2015/10/25 21:10:59", 71.49, 43.25, 1
11999, 1445807460, "2015/10/25 21:11:0", 71.49, 43.25, 1
12999, 1445807461, "2015/10/25 21:11:1", 71.49, 43.36, 1
13999, 1445807462, "2015/10/25 21:11:2", 71.49, 43.25, 1
14999, 1445807463, "2015/10/25 21:11:3", 71.49, 43.36, 1
15998, 1445807464, "2015/10/25 21:11:4", 71.49, 43.25, 1
16999, 1445807465, "2015/10/25 21:11:5", 71.49, 43.36, 1
17999, 1445807466, "2015/10/25 21:11:6", 71.49, 43.36, 1
18999, 1445807467, "2015/10/25 21:11:7", 71.49, 43.36, 1
19999, 1445807468, "2015/10/25 21:11:8", 71.49, 43.36, 1
21000, 1445807469, "2015/10/25 21:11:9", 71.49, 43.36, 1
22000, 1445807470, "2015/10/25 21:11:10", 71.49, 43.36, 1
22999, 1445807471, "2015/10/25 21:11:11", 71.49, 43.36, 1
23999, 1445807472, "2015/10/25 21:11:12", 71.49, 43.36, 1
24999, 1445807473, "2015/10/25 21:11:13", 71.49, 43.36, 1
25999, 1445807474, "2015/10/25 21:11:14", 71.49, 43.36, 1
27000, 1445807475, "2015/10/25 21:11:15", 71.49, 43.36, 1
27999, 1445807476, "2015/10/25 21:11:16", 71.49, 43.36, 1
28999, 1445807477, "2015/10/25 21:11:17", 71.49, 43.36, 1
29999, 1445807478, "2015/10/25 21:11:18", 71.49, 43.36, 1
30999, 1445807479, "2015/10/25 21:11:19", 71.49, 43.36, 1
31998, 1445807480, "2015/10/25 21:11:20", 71.49, 43.36, 1
32999, 1445807481, "2015/10/25 21:11:21", 71.49, 43.36, 1
33999, 1445807482, "2015/10/25 21:11:22", 71.49, 43.36, 1
34999, 1445807483, "2015/10/25 21:11:23", 71.49, 43.36, 1
35999, 1445807484, "2015/10/25 21:11:24", 71.49, 43.36, 1
36999, 1445807485, "2015/10/25 21:11:25", 71.49, 43.36, 1
37999, 1445807486, "2015/10/25 21:11:26", 71.49, 43.36, 1
38999, 1445807487, "2015/10/25 21:11:27", 71.49, 43.36, 1
39999, 1445807488, "2015/10/25 21:11:28", 71.49, 43.36, 1
40999, 1445807489, "2015/10/25 21:11:29", 71.49, 43.36, 1
41999, 1445807490, "2015/10/25 21:11:30", 71.49, 43.36, 1
42999, 1445807491, "2015/10/25 21:11:31", 71.60, 43.36, 1
43999, 1445807492, "2015/10/25 21:11:32", 71.60, 43.36, 1
44999, 1445807493, "2015/10/25 21:11:33", 71.49, 43.36, 1
45999, 1445807494, "2015/10/25 21:11:34", 71.49, 43.36, 1
46999, 1445807495, "2015/10/25 21:11:35", 71.49, 43.36, 1
47998, 1445807496, "2015/10/25 21:11:36", 71.60, 43.36, 0
48999, 1445807497, "2015/10/25 21:11:37", 71.49, 43.36, 0
49999, 1445807498, "2015/10/25 21:11:38", 71.60, 43.36, 0
50999, 1445807499, "2015/10/25 21:11:39", 71.49, 43.47, 0
51999, 1445807500, "2015/10/25 21:11:40", 71.49, 43.36, 0
52999, 1445807501, "2015/10/25 21:11:41", 71.49, 43.47, 0
53999, 1445807502, "2015/10/25 21:11:42", 71.49, 43.47, 0
54999, 1445807503, "2015/10/25 21:11:43", 71.60, 43.47, 0
55999, 1445807504, "2015/10/25 21:11:44", 71.60, 43.47, 0
56999, 1445807505, "2015/10/25 21:11:45", 71.49, 43.47, 1
57999, 1445807506, "2015/10/25 21:11:46", 71.49, 43.47, 1
58998, 1445807507, "2015/10/25 21:11:47", 71.49, 43.47, 1
59999, 1445807508, "2015/10/25 21:11:48", 71.49, 43.47, 1
60999, 1445807509, "2015/10/25 21:11:49", 71.49, 43.47, 1
61999, 1445807510, "2015/10/25 21:11:50", 71.49, 43.47, 1
62999, 1445807511, "2015/10/25 21:11:51", 71.60, 43.47, 1
64000, 1445807512, "2015/10/25 21:11:52", 71.60, 43.47, 1
64999, 1445807513, "2015/10/25 21:11:53", 71.49, 43.47, 1
65999, 1445807514, "2015/10/25 21:11:54", 71.60, 43.47, 1
66999, 1445807515, "2015/10/25 21:11:55", 71.60, 43.47, 1
67999, 1445807516, "2015/10/25 21:11:56", 71.49, 43.47, 1
68999, 1445807517, "2015/10/25 21:11:57", 71.49, 43.47, 1
69999, 1445807518, "2015/10/25 21:11:58", 71.49, 43.47, 1
71000, 1445807519, "2015/10/25 21:11:59", 71.49, 43.47, 1
71999, 1445807520, "2015/10/25 21:12:0", 71.49, 43.47, 1
72999, 1445807521, "2015/10/25 21:12:1", 71.49, 43.47, 1
73999, 1445807522, "2015/10/25 21:12:2", 71.49, 43.47, 1
74999, 1445807523, "2015/10/25 21:12:3", 71.60, 43.47, 1
75999, 1445807524, "2015/10/25 21:12:4", 71.60, 43.59, 1
76999, 1445807525, "2015/10/25 21:12:5", 71.49, 43.47, 1
77999, 1445807526, "2015/10/25 21:12:6", 71.49, 43.47, 1
79000, 1445807527, "2015/10/25 21:12:7", 71.60, 43.47, 1
80000, 1445807528, "2015/10/25 21:12:8", 71.60, 43.59, 1
80999, 1445807529, "2015/10/25 21:12:9", 71.60, 43.59, 1
81999, 1445807530, "2015/10/25 21:12:10", 71.60, 43.59, 1
82999, 1445807531, "2015/10/25 21:12:11", 71.60, 43.47, 1
83999, 1445807532, "2015/10/25 21:12:12", 71.60, 43.47, 1
84999, 1445807533, "2015/10/25 21:12:13", 71.60, 43.59, 1
85999, 1445807534, "2015/10/25 21:12:14", 71.60, 43.47, 1
