millis,stamp,datetime,doorposition,temp,vcc
999, 1445807918, "2015/10/25 21:18:38", -1000.00, -1000.00, 1
1999, 1445807919, "2015/10/25 21:18:39", -1000.00, -1000.00, 1
2999, 1445807920, "2015/10/25 21:18:40", -1000.00, -1000.00, 1
3999, 1445807921, "2015/10/25 21:18:41", -1000.00, -1000.00, 1
5000, 1445807922, "2015/10/25 21:18:42", -1000.00, -1000.00, 1
5999, 1445807923, "2015/10/25 21:18:43", -1000.00, -1000.00, 1
6999, 1445807924, "2015/10/25 21:18:44", -1000.00, -1000.00, 1
7998, 1445807925, "2015/10/25 21:18:45", -1000.00, -1000.00, 1
8999, 1445807926, "2015/10/25 21:18:46", -1000.00, -1000.00, 1
9999, 1445807927, "2015/10/25 21:18:47", -1000.00, -1000.00, 1
10999, 1445807928, "2015/10/25 21:18:48", -1000.00, -1000.00, 1
11999, 1445807929, "2015/10/25 21:18:49", -1000.00, -1000.00, 1
12999, 1445807930, "2015/10/25 21:18:50", -1000.00, -1000.00, 1
13999, 1445807931, "2015/10/25 21:18:51", -1000.00, -1000.00, 1
14998, 1445807932, "2015/10/25 21:18:52", -1000.00, -1000.00, 1
15998, 1445807933, "2015/10/25 21:18:53", -1000.00, -1000.00, 1
16999, 1445807934, "2015/10/25 21:18:54", -1000.00, -1000.00, 1
17998, 1445807935, "2015/10/25 21:18:55", -1000.00, -1000.00, 1
18998, 1445807936, "2015/10/25 21:18:56", -1000.00, -1000.00, 1
19999, 1445807937, "2015/10/25 21:18:57", -1000.00, -1000.00, 1
20999, 1445807938, "2015/10/25 21:18:58", -1000.00, -1000.00, 1
21998, 1445807939, "2015/10/25 21:18:59", -1000.00, -1000.00, 1
23000, 1445807940, "2015/10/25 21:19:0", -1000.00, -1000.00, 1
23998, 1445807941, "2015/10/25 21:19:1", -1000.00, -1000.00, 1
24999, 1445807942, "2015/10/25 21:19:2", -1000.00, -1000.00, 1
25999, 1445807943, "2015/10/25 21:19:3", -1000.00, -1000.00, 1
26999, 2212184785, "2165/165/165 165:165:85", -1000.00, -1000.00, 1
27999, 1445807945, "2015/10/25 21:19:5", -1000.00, -1000.00, 1
28999, 1445807946, "2015/10/25 21:19:6", -1000.00, -1000.00, 1
29999, 1445807947, "2015/10/25 21:19:7", -1000.00, -1000.00, 1
30999, 1445807948, "2015/10/25 21:19:8", -1000.00, -1000.00, 1
32000, 1445807949, "2015/10/25 21:19:9", -1000.00, -1000.00, 1
32999, 1445807950, "2015/10/25 21:19:10", -1000.00, -1000.00, 1
33999, 1445807951, "2015/10/25 21:19:11", -1000.00, -1000.00, 1
34999, 1445807952, "2015/10/25 21:19:12", -1000.00, -1000.00, 1
35999, 1445807953, "2015/10/25 21:19:13", -1000.00, -1000.00, 1
36999, 1445807954, "2015/10/25 21:19:14", -1000.00, -1000.00, 1
37999, 1445807955, "2015/10/25 21:19:15", -1000.00, -1000.00, 1
39000, 1445807956, "2015/10/25 21:19:16", -1000.00, -1000.00, 1
39999, 1445807957, "2015/10/25 21:19:17", -1000.00, -1000.00, 1
40998, 1445807958, "2015/10/25 21:19:18", -1000.00, -1000.00, 1
41999, 1445807959, "2015/10/25 21:19:19", -1000.00, -1000.00, 1
42999, 1445807960, "2015/10/25 21:19:20", -1000.00, -1000.00, 1
43999, 1445807961, "2015/10/25 21:19:21", -1000.00, -1000.00, 1
44999, 1445807962, "2015/10/25 21:19:22", -1000.00, -1000.00, 1
45999, 1445807963, "2015/10/25 21:19:23", -1000.00, -1000.00, 1
46999, 1445807964, "2015/10/25 21:19:24", -1000.00, -1000.00, 1
47998, 1445807965, "2015/10/25 21:19:25", -1000.00, -1000.00, 1
48999, 1445807966, "2015/10/25 21:19:26", -1000.00, -1000.00, 1
49999, 1445807967, "2015/10/25 21:19:27", -1000.00, -1000.00, 1
50999, 1445807968, "2015/10/25 21:19:28", -1000.00, -1000.00, 1
51999, 1445807969, "2015/10/25 21:19:29", -1000.00, -1000.00, 1
52999, 1445807970, "2015/10/25 21:19:30", -1000.00, -1000.00, 1
53999, 1445807971, "2015/10/25 21:19:31", -1000.00, -1000.00, 1
54999, 1445807972, "2015/10/25 21:19:32", -1000.00, -1000.00, 1
55999, 1445807973, "2015/10/25 21:19:33", -1000.00, -1000.00, 1
56999, 1445807974, "2015/10/25 21:19:34", -1000.00, -1000.00, 1
57999, 1445807975, "2015/10/25 21:19:35", -1000.00, -1000.00, 1
58999, 1445807976, "2015/10/25 21:19:36", -1000.00, -1000.00, 1
59999, 1445807977, "2015/10/25 21:19:37", -1000.00, -1000.00, 1
60998, 1445807978, "2015/10/25 21:19:38", -1000.00, -1000.00, 1
61999, 1445807979, "2015/10/25 21:19:39", -1000.00, -1000.00, 1
62998, 1445807980, "2015/10/25 21:19:40", -1000.00, -1000.00, 1
64000, 1445807981, "2015/10/25 21:19:41", -1000.00, -1000.00, 1
64999, 1445807982, "2015/10/25 21:19:42", -1000.00, -1000.00, 1
65999, 1445807983, "2015/10/25 21:19:43", -1000.00, -1000.00, 1
66999, 1445807984, "2015/10/25 21:19:44", -1000.00, -1000.00, 1
67999, 1445807985, "2015/10/25 21:19:45", -1000.00, -1000.00, 1
68999, 1445807986, "2015/10/25 21:19:46", -1000.00, -1000.00, 1
69998, 1445807987, "2015/10/25 21:19:47", -1000.00, -1000.00, 1
71000, 1445807988, "2015/10/25 21:19:48", -1000.00, -1000.00, 1
