millis,stamp,datetime,doorposition,temp,vcc
1998, 1445808978, "2015/10/25 21:36:18", -1000.00, -1000.00, 0
3999, 1445808980, "2015/10/25 21:36:20", -1000.00, -1000.00, 0
5998, 1445808982, "2015/10/25 21:36:22", -1000.00, -1000.00, 0
7999, 1445808984, "2015/10/25 21:36:24", -1000.00, -1000.00, 0
9999, 1445808986, "2015/10/25 21:36:26", -1000.00, -1000.00, 0
12000, 1445808988, "2015/10/25 21:36:28", -1000.00, -1000.00, 0
14000, 1445808990, "2015/10/25 21:36:30", -1000.00, -1000.00, 0
15998, 1445808992, "2015/10/25 21:36:32", -1000.00, -1000.00, 0
17999, 1445808994, "2015/10/25 21:36:34", -1000.00, -1000.00, 0
19998, 1445808996, "2015/10/25 21:36:36", -1000.00, -1000.00, 0
21998, 1445808998, "2015/10/25 21:36:38", -1000.00, -1000.00, 0
23999, 1445809000, "2015/10/25 21:36:40", -1000.00, -1000.00, 0
25999, 1445809002, "2015/10/25 21:36:42", -1000.00, -1000.00, 0
27999, 1445809004, "2015/10/25 21:36:44", -1000.00, -1000.00, 0
30000, 1445809006, "2015/10/25 21:36:46", -1000.00, -1000.00, 0
32000, 1445809008, "2015/10/25 21:36:48", -1000.00, -1000.00, 0
33999, 1445809010, "2015/10/25 21:36:50", -1000.00, -1000.00, 0
35999, 1445809012, "2015/10/25 21:36:52", -1000.00, -1000.00, 0
37998, 1445809014, "2015/10/25 21:36:54", -1000.00, -1000.00, 0
39998, 1445809016, "2015/10/25 21:36:56", -1000.00, -1000.00, 0
42000, 1445809018, "2015/10/25 21:36:58", -1000.00, -1000.00, 0
43999, 1445809020, "2015/10/25 21:37:0", -1000.00, -1000.00, 0
46000, 1445809022, "2015/10/25 21:37:2", -1000.00, -1000.00, 0
48000, 1445809024, "2015/10/25 21:37:4", -1000.00, -1000.00, 0
49999, 1445809026, "2015/10/25 21:37:6", -1000.00, -1000.00, 0
51999, 1445809028, "2015/10/25 21:37:8", -1000.00, -1000.00, 0
53998, 1445809030, "2015/10/25 21:37:10", -1000.00, -1000.00, 0
55999, 1445809032, "2015/10/25 21:37:12", -1000.00, -1000.00, 0
57999, 1445809034, "2015/10/25 21:37:14", -1000.00, -1000.00, 0
59999, 1445809036, "2015/10/25 21:37:16", -1000.00, -1000.00, 0
62000, 1445809038, "2015/10/25 21:37:18", -1000.00, -1000.00, 0
63998, 1445809040, "2015/10/25 21:37:20", -1000.00, -1000.00, 0
65999, 1445809042, "2015/10/25 21:37:22", -1000.00, -1000.00, 0
67999, 1445809044, "2015/10/25 21:37:24", -1000.00, -1000.00, 0
69998, 1445809046, "2015/10/25 21:37:26", -1000.00, -1000.00, 0
71999, 1445809048, "2015/10/25 21:37:28", -1000.00, -1000.00, 0
74000, 1445809050, "2015/10/25 21:37:30", -1000.00, -1000.00, 0
75999, 1445809052, "2015/10/25 21:37:32", -1000.00, -1000.00, 0
78000, 1445809054, "2015/10/25 21:37:34", -1000.00, -1000.00, 0
79998, 1445809056, "2015/10/25 21:37:36", -1000.00, -1000.00, 0
81998, 1445809058, "2015/10/25 21:37:38", 185.00, 185.00, 0
83999, 1445809060, "2015/10/25 21:37:40", 71.26, 44.15, 0
