millis,stamp,datetime,doorposition,temp,vcc
1998, 1445808711, "2015/10/25 21:31:51", -1000.00, -1000.00, 1
3998, 1445808713, "2015/10/25 21:31:53", -1000.00, -1000.00, 1
5999, 1445808715, "2015/10/25 21:31:55", -1000.00, -1000.00, 1
7998, 1445808717, "2015/10/25 21:31:57", -1000.00, -1000.00, 1
10000, 1445808719, "2015/10/25 21:31:59", -1000.00, -1000.00, 1
11999, 1445808721, "2015/10/25 21:32:1", -1000.00, -1000.00, 1
14000, 1445808723, "2015/10/25 21:32:3", -1000.00, -1000.00, 1
15998, 1445808725, "2015/10/25 21:32:5", -1000.00, -1000.00, 1
17999, 1445808727, "2015/10/25 21:32:7", -1000.00, -1000.00, 1
19998, 1445808729, "2015/10/25 21:32:9", -1000.00, -1000.00, 1
21999, 1445808731, "2015/10/25 21:32:11", -1000.00, -1000.00, 1
23999, 1445808733, "2015/10/25 21:32:13", -1000.00, -1000.00, 1
25999, 1445808735, "2015/10/25 21:32:15", -1000.00, -1000.00, 1
28000, 1445808737, "2015/10/25 21:32:17", -1000.00, -1000.00, 1
29999, 1445808739, "2015/10/25 21:32:19", -1000.00, -1000.00, 1
32000, 1445808741, "2015/10/25 21:32:21", -1000.00, -1000.00, 1
33998, 1445808743, "2015/10/25 21:32:23", -1000.00, -1000.00, 1
35999, 1445808745, "2015/10/25 21:32:25", -1000.00, -1000.00, 1
37999, 1445808747, "2015/10/25 21:32:27", -1000.00, -1000.00, 1
39998, 1445808749, "2015/10/25 21:32:29", -1000.00, -1000.00, 1
42000, 1445808751, "2015/10/25 21:32:31", -1000.00, -1000.00, 1
