millis,stamp,datetime,doorposition,temp,vcc
999, 1445807555, "2015/10/25 21:12:35", -1000.00, 185.00, 1
1999, 1445807556, "2015/10/25 21:12:36", 71.94, 185.00, 1
3000, 1445807557, "2015/10/25 21:12:37", 71.94, 43.47, 1
3999, 1445807558, "2015/10/25 21:12:38", 71.94, 43.47, 1
4999, 1445807559, "2015/10/25 21:12:39", 71.94, 43.47, 1
5999, 1445807560, "2015/10/25 21:12:40", 71.94, 43.47, 1
6999, 1445807561, "2015/10/25 21:12:41", 71.94, 43.47, 1
7999, 1445807562, "2015/10/25 21:12:42", 71.94, 43.47, 1
8998, 1445807563, "2015/10/25 21:12:43", 71.94, 43.47, 1
9999, 1445807564, "2015/10/25 21:12:44", 71.94, 43.47, 1
10999, 1445807565, "2015/10/25 21:12:45", 71.82, 43.47, 1
11999, 1445807566, "2015/10/25 21:12:46", 71.82, 43.47, 1
12999, 1445807567, "2015/10/25 21:12:47", 71.94, 43.47, 1
13999, 1445807568, "2015/10/25 21:12:48", 71.82, 43.47, 1
14999, 1445807569, "2015/10/25 21:12:49", 71.94, 43.59, 1
15998, 1445807570, "2015/10/25 21:12:50", 71.94, 43.59, 1
16999, 1445807571, "2015/10/25 21:12:51", 71.94, 43.59, 1
17999, 1445807572, "2015/10/25 21:12:52", 71.82, 43.59, 0
18999, 1445807573, "2015/10/25 21:12:53", 71.82, 43.59, 0
19999, 1445807574, "2015/10/25 21:12:54", 71.82, 43.47, 0
20999, 1445807575, "2015/10/25 21:12:55", 71.82, 43.59, 0
21999, 1445807576, "2015/10/25 21:12:56", 71.94, 43.59, 0
22999, 1445807577, "2015/10/25 21:12:57", 71.82, 43.59, 0
23999, 1445807578, "2015/10/25 21:12:58", 71.94, 43.59, 0
24999, 1445807579, "2015/10/25 21:12:59", 71.82, 43.59, 1
25999, 1445807580, "2015/10/25 21:13:0", 71.82, 43.59, 1
26999, 1445807581, "2015/10/25 21:13:1", 71.94, 43.59, 1
27999, 1445807582, "2015/10/25 21:13:2", 71.94, 43.59, 1
28999, 1445807583, "2015/10/25 21:13:3", 71.94, 43.70, 1
29999, 1445807584, "2015/10/25 21:13:4", 71.94, 43.59, 1
30999, 1445807585, "2015/10/25 21:13:5", 71.82, 43.59, 1
31998, 1445807586, "2015/10/25 21:13:6", 71.94, 43.59, 1
32999, 1445807587, "2015/10/25 21:13:7", 71.94, 43.70, 1
33999, 1445807588, "2015/10/25 21:13:8", 71.94, 43.70, 1
34999, 1445807589, "2015/10/25 21:13:9", 71.82, 43.59, 1
35999, 1445807590, "2015/10/25 21:13:10", 71.82, 43.70, 1
36999, 1445807591, "2015/10/25 21:13:11", 71.94, 43.70, 1
