millis,stamp,datetime,doorposition,temp,vcc
998, 1445807414, "2015/10/25 21:10:14", -1000.00, 185.00, 1
1999, 1445807415, "2015/10/25 21:10:15", 71.37, 185.00, 1
3000, 1445807416, "2015/10/25 21:10:16", 71.37, 43.14, 1
3999, 1445807417, "2015/10/25 21:10:17", 71.37, 43.25, 1
4999, 1445807418, "2015/10/25 21:10:18", 71.37, 43.14, 1
5999, 1445807419, "2015/10/25 21:10:19", 71.37, 43.14, 1
6999, 1445807420, "2015/10/25 21:10:20", 71.37, 43.25, 1
7999, 1445807421, "2015/10/25 21:10:21", 71.37, 43.25, 1
8998, 1445807422, "2015/10/25 21:10:22", 71.49, 43.25, 1
9999, 1445807423, "2015/10/25 21:10:23", 71.49, 43.25, 1
10999, 1445807424, "2015/10/25 21:10:24", 71.49, 43.25, 1
11999, 1445807425, "2015/10/25 21:10:25", 71.37, 43.25, 1
12998, 1445807426, "2015/10/25 21:10:26", 71.37, 43.25, 1
13999, 1445807427, "2015/10/25 21:10:27", 71.49, 43.25, 1
14999, 1445807428, "2015/10/25 21:10:28", 71.49, 43.25, 1
15998, 1445807429, "2015/10/25 21:10:29", 71.49, 43.25, 1
16999, 1445807430, "2015/10/25 21:10:30", 71.49, 43.25, 1
17999, 1445807431, "2015/10/25 21:10:31", 71.37, 43.25, 1
18999, 1445807432, "2015/10/25 21:10:32", 71.37, 43.25, 1
19999, 1445807433, "2015/10/25 21:10:33", 71.37, 43.25, 1
20999, 1445807434, "2015/10/25 21:10:34", 71.49, 43.25, 1
21999, 1445807435, "2015/10/25 21:10:35", 71.37, 43.25, 1
