millis,stamp,datetime,doorposition,temp,vcc
1998, 1445808756, "2015/10/25 21:32:36", -1000.00, -1000.00, 1
3998, 1445808758, "2015/10/25 21:32:38", -1000.00, -1000.00, 1
5999, 1445808760, "2015/10/25 21:32:40", -1000.00, -1000.00, 1
7998, 1445808762, "2015/10/25 21:32:42", -1000.00, -1000.00, 1
10000, 1445808764, "2015/10/25 21:32:44", -1000.00, -1000.00, 1
11999, 1445808766, "2015/10/25 21:32:46", -1000.00, -1000.00, 1
14000, 1445808768, "2015/10/25 21:32:48", -1000.00, -1000.00, 1
16000, 1445808770, "2015/10/25 21:32:50", -1000.00, -1000.00, 1
17999, 1445808772, "2015/10/25 21:32:52", -1000.00, -1000.00, 0
19999, 1445808774, "2015/10/25 21:32:54", -1000.00, -1000.00, 1
21998, 1445808776, "2015/10/25 21:32:56", -1000.00, -1000.00, 1
23999, 1445808778, "2015/10/25 21:32:58", -1000.00, -1000.00, 1
26000, 1445808780, "2015/10/25 21:33:0", -1000.00, -1000.00, 0
28000, 1445808782, "2015/10/25 21:33:2", -1000.00, -1000.00, 0
30000, 1445808784, "2015/10/25 21:33:4", -1000.00, -1000.00, 0
31998, 1445808786, "2015/10/25 21:33:6", -1000.00, -1000.00, 0
