millis,stamp,datetime,doorposition,temp,vcc
1998, 1445809563, "2015/10/25 21:46:3", 185.00, 185.00, 1
3999, 1445809565, "2015/10/25 21:46:5", 71.37, 44.49, 1
5999, 1445809567, "2015/10/25 21:46:7", 71.26, 44.49, 1
7999, 1445809569, "2015/10/25 21:46:9", 71.37, 44.49, 1
9999, 1445809571, "2015/10/25 21:46:11", 71.37, 44.49, 1
11999, 1445809573, "2015/10/25 21:46:13", 71.37, 44.49, 1
13999, 1445809575, "2015/10/25 21:46:15", 71.26, 44.49, 1
16000, 1445809577, "2015/10/25 21:46:17", 71.26, 44.49, 1
17998, 1445809579, "2015/10/25 21:46:19", 71.37, 44.49, 1
19999, 1445809581, "2015/10/25 21:46:21", 71.26, 44.60, 1
21999, 1445809583, "2015/10/25 21:46:23", 71.37, 44.49, 1
24000, 1445809585, "2015/10/25 21:46:25", 71.37, 44.49, 1
25999, 1445809587, "2015/10/25 21:46:27", 71.37, 44.49, 1
27999, 1445809589, "2015/10/25 21:46:29", 71.26, 44.49, 1
29999, 1445809591, "2015/10/25 21:46:31", 71.37, 44.49, 1
32000, 1445809593, "2015/10/25 21:46:33", 71.26, 44.60, 1
33998, 1445809595, "2015/10/25 21:46:35", 71.26, 44.49, 1
35999, 1445809597, "2015/10/25 21:46:37", 71.26, 44.49, 1
