millis,stamp,datetime,doorposition,temp,vcc
1998, 1445809476, "2015/10/25 21:44:36", 71.49, 44.49, 1
3999, 1445809478, "2015/10/25 21:44:38", 71.49, 44.49, 1
5999, 1445809480, "2015/10/25 21:44:40", 71.49, 44.49, 1
7999, 1445809482, "2015/10/25 21:44:42", 71.49, 44.49, 1
9999, 1445809484, "2015/10/25 21:44:44", 71.49, 44.49, 1
11999, 1445809486, "2015/10/25 21:44:46", 71.49, 44.49, 1
13999, 1445809488, "2015/10/25 21:44:48", 71.49, 44.49, 1
15998, 1445809490, "2015/10/25 21:44:50", 71.49, 44.49, 1
17999, 1445809492, "2015/10/25 21:44:52", 71.49, 44.49, 1
19999, 1445809494, "2015/10/25 21:44:54", -1000.00, -1000.00, 1
21999, 1445809496, "2015/10/25 21:44:56", -1000.00, -1000.00, 1
23999, 1445809498, "2015/10/25 21:44:58", -1000.00, -1000.00, 1
26000, 1445809500, "2015/10/25 21:45:0", -1000.00, -1000.00, 1
28000, 1445809502, "2015/10/25 21:45:2", 71.49, 44.49, 1
29999, 1445809504, "2015/10/25 21:45:4", 71.49, 44.49, 1
31998, 1445809506, "2015/10/25 21:45:6", -1000.00, -1000.00, 1
33998, 1445809508, "2015/10/25 21:45:8", -1000.00, -1000.00, 1
35998, 1445809510, "2015/10/25 21:45:10", 71.49, 44.49, 1
37999, 1445809512, "2015/10/25 21:45:12", 71.49, -1000.00, 1
39999, 1445809514, "2015/10/25 21:45:14", -1000.00, -1000.00, 1
41999, 1445809516, "2015/10/25 21:45:16", -1000.00, -1000.00, 1
43999, 1445809518, "2015/10/25 21:45:18", -1000.00, -1000.00, 1
45999, 1445809520, "2015/10/25 21:45:20", -1000.00, -1000.00, 1
47998, 1445809522, "2015/10/25 21:45:22", -1000.00, -1000.00, 1
49999, 1445809524, "2015/10/25 21:45:24", -1000.00, -1000.00, 1
51999, 1445809526, "2015/10/25 21:45:26", -1000.00, -1000.00, 1
53999, 1445809528, "2015/10/25 21:45:28", -1000.00, -1000.00, 1
55999, 1445809530, "2015/10/25 21:45:30", -1000.00, -1000.00, 1
57999, 1445809532, "2015/10/25 21:45:32", 71.49, 44.49, 1
59999, 1445809534, "2015/10/25 21:45:34", 71.37, 44.49, 1
61999, 1445809536, "2015/10/25 21:45:36", 71.37, 44.49, 1
64000, 1445809538, "2015/10/25 21:45:38", 71.37, 44.49, 1
65998, 1445809540, "2015/10/25 21:45:40", 71.37, 44.49, 1
67999, 1445809542, "2015/10/25 21:45:42", 71.26, 44.49, 1
