millis,stamp,datetime,doorposition,temp,vcc
1999, 1445809065, "2015/10/25 21:37:45", 71.26, 44.15, 0
4000, 1445809067, "2015/10/25 21:37:47", 71.26, 44.15, 0
5999, 1445809069, "2015/10/25 21:37:49", 71.26, 44.15, 0
7999, 1445809071, "2015/10/25 21:37:51", 71.26, 44.15, 0
9999, 1445809073, "2015/10/25 21:37:53", 71.26, 44.15, 0
12000, 1445809075, "2015/10/25 21:37:55", 71.26, 44.15, 0
13999, 1445809077, "2015/10/25 21:37:57", 71.26, 44.15, 0
15998, 1445809079, "2015/10/25 21:37:59", 71.26, 44.15, 0
17998, 1445809081, "2015/10/25 21:38:1", 71.37, 44.26, 0
19999, 1445809083, "2015/10/25 21:38:3", 71.26, 44.15, 0
21999, 1445809085, "2015/10/25 21:38:5", 71.26, 44.15, 1
24000, 1445809087, "2015/10/25 21:38:7", 71.26, 44.26, 0
25999, 1445809089, "2015/10/25 21:38:9", 71.37, 44.26, 0
28000, 1445809091, "2015/10/25 21:38:11", 71.26, 44.15, 0
29999, 1445809093, "2015/10/25 21:38:13", 71.26, 44.26, 0
31998, 1445809095, "2015/10/25 21:38:15", 71.26, 44.26, 0
33998, 1445809097, "2015/10/25 21:38:17", 71.37, 44.26, 0
36000, 1445809099, "2015/10/25 21:38:19", 71.37, 44.15, 0
38000, 1445809101, "2015/10/25 21:38:21", 71.37, 44.15, 0
39999, 1445809103, "2015/10/25 21:38:23", 71.37, 44.26, 0
41999, 1445809105, "2015/10/25 21:38:25", 71.37, 44.26, 0
43999, 1445809107, "2015/10/25 21:38:27", 71.37, 44.26, 0
45999, 1445809109, "2015/10/25 21:38:29", 71.37, 44.26, 0
48000, 1445809111, "2015/10/25 21:38:31", 71.37, 44.15, 0
49999, 1445809113, "2015/10/25 21:38:33", 71.37, 44.15, 0
51999, 1445809115, "2015/10/25 21:38:35", 71.37, 44.26, 0
53999, 1445809117, "2015/10/25 21:38:37", 71.37, 44.26, 0
55999, 1445809119, "2015/10/25 21:38:39", 71.37, 44.26, 0
58000, 1445809121, "2015/10/25 21:38:41", 71.37, 44.26, 0
59999, 1445809123, "2015/10/25 21:38:43", 71.37, 44.26, 0
61999, 1445809125, "2015/10/25 21:38:45", 71.37, 44.26, 0
63998, 1445809127, "2015/10/25 21:38:47", 71.37, 44.26, 1
65998, 1445809129, "2015/10/25 21:38:49", 71.37, 44.26, 1
68000, 1445809131, "2015/10/25 21:38:51", 71.37, 44.26, 1
69999, 1445809133, "2015/10/25 21:38:53", 71.49, 44.26, 0
71999, 1445809135, "2015/10/25 21:38:55", 71.37, 44.26, 0
